商品ID,公開ステータス(ID),商品名,ショップ用メモ欄,商品説明(一覧),商品説明(詳細),検索ワード,フリーエリア,商品削除フラグ,商品画像,商品カテゴリ(ID),タグ(ID),商品種別(ID),規格分類1(ID),規格分類2(ID),発送日目安(ID),商品コード,在庫数,在庫数無制限フラグ,販売制限数,通常価格,販売価格,送料,商品規格削除フラグ,カラー,素材
72,1,プチカラーキャミレオタード（グレー）,,,,,"<div><strong>＊プチカラーキャミレオタード＊</strong></div>
<div></div>
<div>共布のフリルの真ん中を</div>
<div>ストレッチリボンでキュッと留め付けたら</div>
<div>小さい襟ができました<img title=""ribbon"" src=""https://tiara-collection.com/img/icons/ribbon.gif"" alt=""ribbon"" /></div>
<div></div>
<div>胸元のラインも少しだけカモフラージュ。。。<img title=""confident"" src=""https://tiara-collection.com/img/icons/confident.gif"" alt=""confident"" /></div>
<div><img class=""mt-image-none"" src=""https://tiara-collection.com/img/products/12-005-MBL-7.jpg"" alt=""12-005-MBL-7.jpg"" width=""300"" height=""251"" /></div>
<div>クラシカルスイートな雰囲気のシンプルキャミソール<img title=""shine"" src=""https://tiara-collection.com/img/icons/shine.gif"" alt=""shine"" /></div>
<div>スカートやパンツとの相性もばっちりです<img title=""note"" src=""https://tiara-collection.com/img/icons/note.gif"" alt=""note"" /></div>
<div></div>
<div><strong>カラー：グレー</strong></div>
<div>（その他のカラー：ベビーピンク・ラベンダー・ミントブルー・ブラック・ホワイト）</div>
<div></div>
<div>レオタード本体：伸縮性抜群のソフトな光沢のある２ＷＡＹ素材。</div>
<div>※全サイズ前面裏地付き</div>
<div><img class=""mt-image-none"" src=""https://tiara-collection.com/img/products/12-005.jpg"" alt=""12-005.jpg"" width=""400"" height=""300"" /></div>
<div><strong>販売商品に無いお好みのカラーでオーダーできます。（カラーオーダー無料）</strong></div>
<div>お気軽にお問い合わせください。</div>",0,"553.jpg,553p2.jpg,553p3.jpg,553p4.jpg,553p5.jpg,553p6.jpg,553p7.jpg",7,,1,,,3,12-005-GLY,,1,,,6900,,0,,
70,1,プチカラーキャミレオタード（ラベンダー）,,,,,"<div><strong>＊プチカラーキャミレオタード＊</strong></div>
<div></div>
<div>共布のフリルの真ん中を</div>
<div>ストレッチリボンでキュッと留め付けたら</div>
<div>小さい襟ができました<img title=""ribbon"" src=""https://tiara-collection.com/img/icons/ribbon.gif"" alt=""ribbon"" /></div>
<div></div>
<div>胸元のラインも少しだけカモフラージュ。。。<img title=""confident"" src=""https://tiara-collection.com/img/icons/confident.gif"" alt=""confident"" /></div>
<div><img class=""mt-image-none"" src=""https://tiara-collection.com/img/products/12-005-MBL-7.jpg"" alt=""12-005-MBL-7.jpg"" width=""300"" height=""251"" /></div>
<div>クラシカルスイートな雰囲気のシンプルキャミソール<img title=""shine"" src=""https://tiara-collection.com/img/icons/shine.gif"" alt=""shine"" /></div>
<div>スカートやパンツとの相性もばっちりです<img title=""note"" src=""https://tiara-collection.com/img/icons/note.gif"" alt=""note"" /></div>
<div></div>
<div><strong>サイズ：110・120・130・140・150・160</strong></div>
<div><strong>カラー：ラベンダー</strong></div>
<div>（その他のカラー：ベビーピンク・グレー・ミントブルー・ブラック・ホワイト）</div>
<div></div>
<div>レオタード本体：伸縮性抜群のソフトな光沢のある２ＷＡＹ素材。</div>
<div>※全サイズ前面裏地付き</div>
<div><img class=""mt-image-none"" src=""https://tiara-collection.com/img/products/12-005.jpg"" alt=""12-005.jpg"" width=""400"" height=""300"" /></div>
<div><strong>販売商品に無いお好みのカラーでオーダーできます。</strong></div>
<div>（カラーオーダー無料）</div>
<div>お気軽にお問い合わせください。</div>",0,"551.jpg,551p2.jpg,551p3.jpg,551p4.jpg,551p5.jpg,551p6.jpg,551p7.jpg",7,,1,9,,3,12-005-LAV,,1,,,6900,,0,,
70,1,プチカラーキャミレオタード（ラベンダー）,,,,,"<div><strong>＊プチカラーキャミレオタード＊</strong></div>
<div></div>
<div>共布のフリルの真ん中を</div>
<div>ストレッチリボンでキュッと留め付けたら</div>
<div>小さい襟ができました<img title=""ribbon"" src=""https://tiara-collection.com/img/icons/ribbon.gif"" alt=""ribbon"" /></div>
<div></div>
<div>胸元のラインも少しだけカモフラージュ。。。<img title=""confident"" src=""https://tiara-collection.com/img/icons/confident.gif"" alt=""confident"" /></div>
<div><img class=""mt-image-none"" src=""https://tiara-collection.com/img/products/12-005-MBL-7.jpg"" alt=""12-005-MBL-7.jpg"" width=""300"" height=""251"" /></div>
<div>クラシカルスイートな雰囲気のシンプルキャミソール<img title=""shine"" src=""https://tiara-collection.com/img/icons/shine.gif"" alt=""shine"" /></div>
<div>スカートやパンツとの相性もばっちりです<img title=""note"" src=""https://tiara-collection.com/img/icons/note.gif"" alt=""note"" /></div>
<div></div>
<div><strong>サイズ：110・120・130・140・150・160</strong></div>
<div><strong>カラー：ラベンダー</strong></div>
<div>（その他のカラー：ベビーピンク・グレー・ミントブルー・ブラック・ホワイト）</div>
<div></div>
<div>レオタード本体：伸縮性抜群のソフトな光沢のある２ＷＡＹ素材。</div>
<div>※全サイズ前面裏地付き</div>
<div><img class=""mt-image-none"" src=""https://tiara-collection.com/img/products/12-005.jpg"" alt=""12-005.jpg"" width=""400"" height=""300"" /></div>
<div><strong>販売商品に無いお好みのカラーでオーダーできます。</strong></div>
<div>（カラーオーダー無料）</div>
<div>お気軽にお問い合わせください。</div>",0,"551.jpg,551p2.jpg,551p3.jpg,551p4.jpg,551p5.jpg,551p6.jpg,551p7.jpg",7,,1,10,,3,12-005-LAV,,1,,,6900,,0,,
70,1,プチカラーキャミレオタード（ラベンダー）,,,,,"<div><strong>＊プチカラーキャミレオタード＊</strong></div>
<div></div>
<div>共布のフリルの真ん中を</div>
<div>ストレッチリボンでキュッと留め付けたら</div>
<div>小さい襟ができました<img title=""ribbon"" src=""https://tiara-collection.com/img/icons/ribbon.gif"" alt=""ribbon"" /></div>
<div></div>
<div>胸元のラインも少しだけカモフラージュ。。。<img title=""confident"" src=""https://tiara-collection.com/img/icons/confident.gif"" alt=""confident"" /></div>
<div><img class=""mt-image-none"" src=""https://tiara-collection.com/img/products/12-005-MBL-7.jpg"" alt=""12-005-MBL-7.jpg"" width=""300"" height=""251"" /></div>
<div>クラシカルスイートな雰囲気のシンプルキャミソール<img title=""shine"" src=""https://tiara-collection.com/img/icons/shine.gif"" alt=""shine"" /></div>
<div>スカートやパンツとの相性もばっちりです<img title=""note"" src=""https://tiara-collection.com/img/icons/note.gif"" alt=""note"" /></div>
<div></div>
<div><strong>サイズ：110・120・130・140・150・160</strong></div>
<div><strong>カラー：ラベンダー</strong></div>
<div>（その他のカラー：ベビーピンク・グレー・ミントブルー・ブラック・ホワイト）</div>
<div></div>
<div>レオタード本体：伸縮性抜群のソフトな光沢のある２ＷＡＹ素材。</div>
<div>※全サイズ前面裏地付き</div>
<div><img class=""mt-image-none"" src=""https://tiara-collection.com/img/products/12-005.jpg"" alt=""12-005.jpg"" width=""400"" height=""300"" /></div>
<div><strong>販売商品に無いお好みのカラーでオーダーできます。</strong></div>
<div>（カラーオーダー無料）</div>
<div>お気軽にお問い合わせください。</div>",0,"551.jpg,551p2.jpg,551p3.jpg,551p4.jpg,551p5.jpg,551p6.jpg,551p7.jpg",7,,1,11,,3,12-005-LAV,,1,,,6900,,0,,
70,1,プチカラーキャミレオタード（ラベンダー）,,,,,"<div><strong>＊プチカラーキャミレオタード＊</strong></div>
<div></div>
<div>共布のフリルの真ん中を</div>
<div>ストレッチリボンでキュッと留め付けたら</div>
<div>小さい襟ができました<img title=""ribbon"" src=""https://tiara-collection.com/img/icons/ribbon.gif"" alt=""ribbon"" /></div>
<div></div>
<div>胸元のラインも少しだけカモフラージュ。。。<img title=""confident"" src=""https://tiara-collection.com/img/icons/confident.gif"" alt=""confident"" /></div>
<div><img class=""mt-image-none"" src=""https://tiara-collection.com/img/products/12-005-MBL-7.jpg"" alt=""12-005-MBL-7.jpg"" width=""300"" height=""251"" /></div>
<div>クラシカルスイートな雰囲気のシンプルキャミソール<img title=""shine"" src=""https://tiara-collection.com/img/icons/shine.gif"" alt=""shine"" /></div>
<div>スカートやパンツとの相性もばっちりです<img title=""note"" src=""https://tiara-collection.com/img/icons/note.gif"" alt=""note"" /></div>
<div></div>
<div><strong>サイズ：110・120・130・140・150・160</strong></div>
<div><strong>カラー：ラベンダー</strong></div>
<div>（その他のカラー：ベビーピンク・グレー・ミントブルー・ブラック・ホワイト）</div>
<div></div>
<div>レオタード本体：伸縮性抜群のソフトな光沢のある２ＷＡＹ素材。</div>
<div>※全サイズ前面裏地付き</div>
<div><img class=""mt-image-none"" src=""https://tiara-collection.com/img/products/12-005.jpg"" alt=""12-005.jpg"" width=""400"" height=""300"" /></div>
<div><strong>販売商品に無いお好みのカラーでオーダーできます。</strong></div>
<div>（カラーオーダー無料）</div>
<div>お気軽にお問い合わせください。</div>",0,"551.jpg,551p2.jpg,551p3.jpg,551p4.jpg,551p5.jpg,551p6.jpg,551p7.jpg",7,,1,12,,3,12-005-LAV,,1,,,6900,,0,,
70,1,プチカラーキャミレオタード（ラベンダー）,,,,,"<div><strong>＊プチカラーキャミレオタード＊</strong></div>
<div></div>
<div>共布のフリルの真ん中を</div>
<div>ストレッチリボンでキュッと留め付けたら</div>
<div>小さい襟ができました<img title=""ribbon"" src=""https://tiara-collection.com/img/icons/ribbon.gif"" alt=""ribbon"" /></div>
<div></div>
<div>胸元のラインも少しだけカモフラージュ。。。<img title=""confident"" src=""https://tiara-collection.com/img/icons/confident.gif"" alt=""confident"" /></div>
<div><img class=""mt-image-none"" src=""https://tiara-collection.com/img/products/12-005-MBL-7.jpg"" alt=""12-005-MBL-7.jpg"" width=""300"" height=""251"" /></div>
<div>クラシカルスイートな雰囲気のシンプルキャミソール<img title=""shine"" src=""https://tiara-collection.com/img/icons/shine.gif"" alt=""shine"" /></div>
<div>スカートやパンツとの相性もばっちりです<img title=""note"" src=""https://tiara-collection.com/img/icons/note.gif"" alt=""note"" /></div>
<div></div>
<div><strong>サイズ：110・120・130・140・150・160</strong></div>
<div><strong>カラー：ラベンダー</strong></div>
<div>（その他のカラー：ベビーピンク・グレー・ミントブルー・ブラック・ホワイト）</div>
<div></div>
<div>レオタード本体：伸縮性抜群のソフトな光沢のある２ＷＡＹ素材。</div>
<div>※全サイズ前面裏地付き</div>
<div><img class=""mt-image-none"" src=""https://tiara-collection.com/img/products/12-005.jpg"" alt=""12-005.jpg"" width=""400"" height=""300"" /></div>
<div><strong>販売商品に無いお好みのカラーでオーダーできます。</strong></div>
<div>（カラーオーダー無料）</div>
<div>お気軽にお問い合わせください。</div>",0,"551.jpg,551p2.jpg,551p3.jpg,551p4.jpg,551p5.jpg,551p6.jpg,551p7.jpg",7,,1,13,,3,12-005-LAV,,1,,,6900,,0,,
70,1,プチカラーキャミレオタード（ラベンダー）,,,,,"<div><strong>＊プチカラーキャミレオタード＊</strong></div>
<div></div>
<div>共布のフリルの真ん中を</div>
<div>ストレッチリボンでキュッと留め付けたら</div>
<div>小さい襟ができました<img title=""ribbon"" src=""https://tiara-collection.com/img/icons/ribbon.gif"" alt=""ribbon"" /></div>
<div></div>
<div>胸元のラインも少しだけカモフラージュ。。。<img title=""confident"" src=""https://tiara-collection.com/img/icons/confident.gif"" alt=""confident"" /></div>
<div><img class=""mt-image-none"" src=""https://tiara-collection.com/img/products/12-005-MBL-7.jpg"" alt=""12-005-MBL-7.jpg"" width=""300"" height=""251"" /></div>
<div>クラシカルスイートな雰囲気のシンプルキャミソール<img title=""shine"" src=""https://tiara-collection.com/img/icons/shine.gif"" alt=""shine"" /></div>
<div>スカートやパンツとの相性もばっちりです<img title=""note"" src=""https://tiara-collection.com/img/icons/note.gif"" alt=""note"" /></div>
<div></div>
<div><strong>サイズ：110・120・130・140・150・160</strong></div>
<div><strong>カラー：ラベンダー</strong></div>
<div>（その他のカラー：ベビーピンク・グレー・ミントブルー・ブラック・ホワイト）</div>
<div></div>
<div>レオタード本体：伸縮性抜群のソフトな光沢のある２ＷＡＹ素材。</div>
<div>※全サイズ前面裏地付き</div>
<div><img class=""mt-image-none"" src=""https://tiara-collection.com/img/products/12-005.jpg"" alt=""12-005.jpg"" width=""400"" height=""300"" /></div>
<div><strong>販売商品に無いお好みのカラーでオーダーできます。</strong></div>
<div>（カラーオーダー無料）</div>
<div>お気軽にお問い合わせください。</div>",0,"551.jpg,551p2.jpg,551p3.jpg,551p4.jpg,551p5.jpg,551p6.jpg,551p7.jpg",7,,1,14,,3,12-005-LAV,,1,,,6900,,0,,
120,1,キャミソールレオタード ペパーミント,,,,,"<strong>＊シンプルで爽やかなペパーミントのキャミソールレオタード＊</strong>

同色のレースゴムがかわいい<img title=""note"" src=""https://tiara-collection.com/img/icons/note.gif"" alt=""note"" width=""16"" height=""16"" />

コーディネートによって、カジュアルにもフェミニンにも着こなせます<img title=""heart04"" src=""https://tiara-collection.com/img/icons/heart04.gif"" alt=""heart04"" />

バックスタイルはクロスになっているので肩からずり落ちません。

レオタード生地はソフトで伸縮性抜群の少し光沢のある素材。

胸元のレースゴムは肌触りの良いソフトな素材でチクチク感はありません！",0,"732.jpg,732p1.jpg,732p2.jpg,732p3.jpg,732p5.jpg,732p6.jpg,732p7.jpg,732p8.jpg,732p9.jpg,732p0.jpg",7,,1,9,,3,04-004-MNT,,1,,,6900,,0,,
120,1,キャミソールレオタード ペパーミント,,,,,"<strong>＊シンプルで爽やかなペパーミントのキャミソールレオタード＊</strong>

同色のレースゴムがかわいい<img title=""note"" src=""https://tiara-collection.com/img/icons/note.gif"" alt=""note"" width=""16"" height=""16"" />

コーディネートによって、カジュアルにもフェミニンにも着こなせます<img title=""heart04"" src=""https://tiara-collection.com/img/icons/heart04.gif"" alt=""heart04"" />

バックスタイルはクロスになっているので肩からずり落ちません。

レオタード生地はソフトで伸縮性抜群の少し光沢のある素材。

胸元のレースゴムは肌触りの良いソフトな素材でチクチク感はありません！",0,"732.jpg,732p1.jpg,732p2.jpg,732p3.jpg,732p5.jpg,732p6.jpg,732p7.jpg,732p8.jpg,732p9.jpg,732p0.jpg",7,,1,10,,3,04-004-MNT,,1,,,6900,,0,,
120,1,キャミソールレオタード ペパーミント,,,,,"<strong>＊シンプルで爽やかなペパーミントのキャミソールレオタード＊</strong>

同色のレースゴムがかわいい<img title=""note"" src=""https://tiara-collection.com/img/icons/note.gif"" alt=""note"" width=""16"" height=""16"" />

コーディネートによって、カジュアルにもフェミニンにも着こなせます<img title=""heart04"" src=""https://tiara-collection.com/img/icons/heart04.gif"" alt=""heart04"" />

バックスタイルはクロスになっているので肩からずり落ちません。

レオタード生地はソフトで伸縮性抜群の少し光沢のある素材。

胸元のレースゴムは肌触りの良いソフトな素材でチクチク感はありません！",0,"732.jpg,732p1.jpg,732p2.jpg,732p3.jpg,732p5.jpg,732p6.jpg,732p7.jpg,732p8.jpg,732p9.jpg,732p0.jpg",7,,1,11,,3,04-004-MNT,,1,,,6900,,0,,
